gene,rank_score
KMT2B,0.127128054627651
CRYGA,0.126925317709308
AK162351,0.126924326871369
CHST8,0.126875427712453
2900072G11RIK,0.126668705676277
LOC102636803,0.126209386200811
6820408C15RIK,0.126172262987045
AU021889,0.126047149223135
ADAM8,0.125952135460478
GPR165,0.125793890964228
GM6712,0.125744155057944
B230114A03RIK,0.125709700779191
TTC8,0.125683816822869
FAM173B,0.125570807365216
SLC16A14,0.125484244062323
9630013A20RIK,0.125413581408141
RPTOROS,0.12503176730895
MEOX1,0.124968432323467
MATN2,0.124755515855655
TUBB3,0.124516432754573
4933411D12RIK,0.124443446791676
RSPH3A,0.124437426340079
CDH20,0.124366643428078
EN2,0.124288276922748
CUL2,0.123966768566056
TBCE,0.123801887118757
FAHD1,0.123740527510799
GBGT1,0.123637995882823
TBC1D2B,0.12351960957684
PRR11,0.123476211620559
4930570G19RIK,0.123196161053525
6530403G13RIK,0.123144256607212
TRDMT1,0.123047685358564
SSR4,0.123018063551938
CCDC153,0.122922512368904
WBSCR27,0.122775417846611
GM14169,0.122041238457837
CUTA,0.122003415693952
G0S2,0.121895689031361
TICAM1,0.121869979567526
PSMB11,0.121657380203361
5430439C14RIK,0.121549487132222
SGK1,0.121531420377357
GM9817,0.121207989789848
LMAN1L,0.121158985380425
GRIN2C,0.120959785320401
TMEM179,0.120911755187242
TOR4A,0.120812924447169
SUSD2,0.120707796779824
1700001G17RIK,0.120680934682824
DYNLRB2,0.120642317762393
POLR3G,0.120573254523762
TCERG1L,0.120510428766247
SLC45A1,0.120484616822037
CAND2,0.120324244825879
6030407O03RIK,0.12025031917175
GDPD2,0.120241107761593
9630050P21RIK,0.12023444281821
TMEM44,0.120148129706186
CLEC2L,0.120056915930741
D3WSU167E,0.120017949832658
A2M,0.119776937566851
1700012D14RIK,0.119771543340414
PTMS,0.119553109918751
RHCG,0.119552848320082
WDR35,0.119343245552004
CLIC6,0.119178305952253
CAPSL,0.119108137609277
C78704,0.11910025582759
CUEDC1,0.119089751823923
TTC9,0.118875687802618
FGF16,0.118860101058572
RNF166,0.118763625919339
LOC102640192,0.118753318363755
SLC22A4,0.11860272353657
MTERF1A,0.118527877825497
NINL,0.118428494869441
FAM89A,0.118412267671475
TAS1R3,0.11834535259185
9530051E23RIK,0.118253249161485
HOXB4,0.118218715491038
CBLN4,0.118023212433614
GPR65,0.117878602877903
A530083I20RIK,0.117852834484199
ZFP87,0.117551114011889
C130051F05RIK,0.1175029572632
1810011O10RIK,0.117459333929258
ZFP775,0.117405043542619
4930558N01RIK,0.117403131259443
SNORD104,0.117270739026489
PRDM5,0.11704313420425
EAF2,0.116720461257575
PFDN6,0.116591004613105
SLC16A13,0.116547501280395
E030030I06RIK,0.11652384016593
DIRC2,0.116489287288388
FBLIM1,0.116369849297427
CD33,0.116340331226216
MEG3,0.116179421850925
TINAG,0.116148585541317
NARF,0.115916159043928
4933421O10RIK,0.115853595327323
LRRC8C,0.115779024319232
4833439F03RIK,0.115758143010819
1700093J21RIK,0.115740503797897
ITGB8,0.115673361802787
FIS1,0.11554569159909
A730046G19RIK,0.115544013543134
ESYT3,0.115506628983878
ADCYAP1,0.115460913034205
RASD1,0.115357126081494
PNPT1,0.115356402406636
ZFP389,0.115354905412754
CCDC101,0.115242225511642
RIOK2,0.11519162640427
6720422M22RIK,0.115152081177659
GM7420,0.11508107965297
FANCF,0.114982280513767
TRIM59,0.114893584712801
TPM2,0.114637669395242
PRKCD,0.114570913406634
SNHG7,0.114438440920197
EGFL8,0.114407131954245
4933424C08RIK,0.114373959577825
D7WSU130E,0.114372382346442
PWWP2B,0.1142614904495
2810038L03RIK,0.114171577310987
4922502B01RIK,0.114041505332409
UCHL1,0.113966596676054
2900005I04RIK,0.113945404097684
PODXL2,0.113830952053999
LOC102636737,0.113665322347591
NHLH1,0.113594571452529
RHOX9,0.113577858781916
ARHGAP15,0.113499793230246
TBC1D2,0.113424169193597
CARD10,0.11339183737685
NLRP12,0.113367283321107
AA467197,0.11332495112659
4930553P18RIK,0.113301040271088
STAMOS,0.11324640404231
A930026B05RIK,0.113122112489086
CCL5,0.113010792368287
JOSD2,0.11292276925453
CREB3L2,0.112882424154422
POM121L2,0.11282898108283
GM17597,0.112806953229624
ENDOU,0.112768384732476
VPS72,0.112762005748924
NUF2,0.11255701291218
UBAP2,0.112469674221434
GNB2,0.112383096339943
4632427E13RIK,0.112184199405954
4933417D19RIK,0.11215332737733
C1RA,0.112054345819929
KCNK10,0.112034693588604
DDIT4,0.111851908573244
IFNLR1,0.111756562712139
FBLN7,0.111603808802454
1700037N05RIK,0.111603253374575
ZFP286,0.111377722593771
BB168181,0.111241912810747
B230114P17RIK,0.111185132158633
KYNU,0.111181225168586
SLC32A1,0.110757762306087
