probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	mean_expression	contrast
ILMN_2186877	0.0422848163875491	7.80489957809546	0.196354311206024	0.848710144935099	1	-5.99570495588607	EBLN2	7.80489957809546	exposure_corrected
ILMN_1768127	-0.080133758002182	10.6542790912275	-0.34426999237083	0.738577982526271	1	-5.95424027480655	EBNA1BP2	10.6542790912275	exposure_corrected
ILMN_2073604	0.215406431512394	10.9191792002539	1.06563847434038	0.314434061055371	0.931670246468631	-5.45829088644721	EBP	10.9191792002539	exposure_corrected
ILMN_1805922	0.0477226300824081	11.6838129618183	0.19985066925701	0.846055400652055	1	-5.994983345792	EBPL	11.6838129618183	exposure_corrected
ILMN_2206645	-0.163586944210016	8.48967030959287	-0.706530552811592	0.497802016249788	0.95813391502217	-5.76201789330069	ECD	8.48967030959287	exposure_corrected
ILMN_1672174	0.448116060295096	6.05130361110642	1.43403037455406	0.185495838040477	0.918143498815468	-5.0531137789863	ECE1	6.05130361110642	exposure_corrected
ILMN_2275248	0.0242516629310956	5.86546032072589	0.0736302946315369	0.942920645118658	1	-6.01299983599936	ECE2	5.86546032072589	exposure_corrected
ILMN_2203491	-0.0519785852832411	9.77732047007132	-0.186031638731062	0.856559674522012	1	-5.99776177903372	ECEL1	9.77732047007132	exposure_corrected
ILMN_1653115	0.210335524363674	11.4668194991113	0.874350794423351	0.404732848913006	0.939933576949712	-5.63283694550797	ECH1	11.4668194991113	exposure_corrected
ILMN_2167011	-0.213196474450653	7.84661085161633	-1.09403318763989	0.302452459163678	0.9309934599977	-5.4301054923965	ECHDC1	7.84661085161633	exposure_corrected
ILMN_1671568	-0.0406062057934543	5.89904230360396	-0.0756377070996822	0.941367718416625	1	-6.01284312771193	ECHDC2	5.89904230360396	exposure_corrected
ILMN_2072178	-0.0296156116419766	7.2285211388568	-0.101068352199663	0.92171965946325	1	-6.01049363169835	ECHDC3	7.2285211388568	exposure_corrected
ILMN_1718132	-0.384604652663484	11.1200474954212	-1.30426362703487	0.224621186187999	0.92651126452463	-5.20502197571258	ECHS1	11.1200474954212	exposure_corrected
ILMN_2049303	0.215224562336786	10.8411060815837	0.833048301250068	0.426445355669818	0.942192836070986	-5.66680581912894	ECI1	10.8411060815837	exposure_corrected
ILMN_1761131	-0.321849355590274	9.43584152976979	-1.35833047240868	0.20754164690132	0.924139307554162	-5.14283686250287	ECI2	9.43584152976979	exposure_corrected
