gene	precursor_features	peptide_backbones	runs_observed	control_runs	knockdown_runs
COQ8B	1	1	9	5	4
COQ9	4	3	10	5	5
CORO1A	5	5	10	5	5
CORO1B	1	1	9	5	4
CORO1C	12	10	10	5	5
CORO2A	2	2	10	5	5
CORO2B	5	5	9	5	4
CORO7	11	7	10	5	5
COTL1	12	9	10	5	5
COX10	1	1	10	5	5
COX11	1	1	9	5	4
COX14	1	1	8	5	3
COX15	5	4	9	5	4
COX17	2	2	10	5	5
COX18	2	2	10	5	5
COX20	2	1	9	5	4
COX4I1	19	10	10	5	5
COX5A	8	6	10	5	5
COX5B	4	3	10	5	5
COX6A1	4	2	10	5	5
COX6B1	3	3	10	5	5
COX6C	7	4	10	5	5
COX7A2	3	2	10	5	5
COX7A2L	5	4	10	5	5
COX7B	3	2	10	5	5
COX7C	4	2	10	5	5
COX8A	2	1	9	5	4
CP	1	1	9	5	4
CPD	39	29	10	5	5
CPE	26	16	10	5	5
CPEB4	1	1	10	5	5
CPNE1	10	7	10	5	5
CPNE2	2	2	10	5	5
CPNE3	8	5	10	5	5
CPNE4	5	4	10	5	5
CPNE7	7	6	10	5	5
CPNE9	3	2	10	5	5
CPOX	6	5	10	5	5
CPPED1	3	2	9	5	4
CPSF1	19	13	10	5	5
CPSF2	11	9	10	5	5
CPSF3	5	4	10	5	5
CPSF6	6	4	10	5	5
CPSF7	8	6	10	5	5
CPT1C	6	5	9	5	4
CPT2	29	20	10	5	5
CPVL	10	8	10	5	5
CRABP1	18	11	10	5	5
CRAT	21	15	10	5	5
CRB2	2	2	9	5	4
CRBN	1	1	9	5	4
CRCP	3	2	10	5	5
CREG1	1	1	9	5	4
CRELD1	4	3	10	5	5
CRELD2	2	2	10	5	5
CRIP2	5	3	10	5	5
CRK	4	4	10	5	5
CRKL	3	2	10	5	5
CRMP1	42	24	10	5	5
CRNKL1	9	8	10	5	5
CROCC2	2	1	10	5	5
CRYZ	19	13	10	5	5
CS	28	16	10	5	5
CSDE1	23	19	10	5	5
CSE1L	31	23	10	5	5
CSGALNACT1	1	1	8	5	3
CSK	3	3	9	5	4
CSNK1A1	12	8	10	5	5
CSNK2A1	22	13	10	5	5
CSNK2A2	12	9	10	5	5
CSNK2B	3	2	10	5	5
CSTA	2	2	10	5	5
CSTB	12	7	10	5	5
CSTF1	2	2	10	5	5
CSTF2	2	2	10	5	5
CSTF2T	2	1	10	5	5
CSTF3	12	9	10	5	5
CTBP1	12	9	10	5	5
CTBP2	2	2	10	5	5
CTBS	1	1	8	5	3
CTCF	3	2	10	5	5
CTDNEP1	4	4	10	5	5
CTDSPL2	2	2	10	5	5
CTNNA1	3	3	10	5	5
CTNNA2	25	19	10	5	5
