gene	pooled_abundance	backbones	abundance_rank	backbone_rank
RTFDC1	16.5446796778	1	0.273980639484	0.0513347022587
RTN1	17.6650461991	10	0.636843649164	0.783660897624
RTN3	16.505098066	3	0.264887063655	0.294074508654
RTN4	16.9343775556	10	0.388677031388	0.783660897624
RTN4IP1	16.1234721665	4	0.182751540041	0.408917571135
RTRAF	17.6467310746	10	0.630683484893	0.783660897624
RUFY3	17.6026166415	14	0.615429744793	0.879143443825
RUNDC3A	17.628832498	6	0.623643297155	0.580228806101
RUVBL1	17.7824643822	14	0.671457905544	0.879143443825
RUVBL2	18.3653076726	16	0.814021707246	0.905690818422
S100A13	16.1260750328	4	0.18421824582	0.408917571135
SAAL1	15.3298178886	1	0.068348489293	0.0513347022587
SACM1L	16.2838403982	19	0.21677911411	0.936931651511
SACS	16.1719448647	22	0.191258433558	0.956585508947
SAE1	17.8603796859	12	0.693458492226	0.838222352596
SAFB	12.1000976492	4	0.00264007040188	0.408917571135
SAFB2	16.2318155208	1	0.203872103256	0.0513347022587
SAMD4B	13.6102413747	2	0.0102669404517	0.168817835142
SAMHD1	16.4123632818	8	0.242886476973	0.702552068055
SAMM50	19.7684416952	16	0.960692285128	0.905690818422
SAP18	17.7081654416	10	0.651217365796	0.783660897624
SAP30BP	17.2029375954	1	0.478732766207	0.0513347022587
SAR1A	18.5085706422	3	0.840129070109	0.294074508654
SAR1B	17.242667242	5	0.491639777061	0.505426811382
SARM1	16.6403909144	7	0.296567908478	0.646377236726
SARS	18.3659836331	15	0.814608389557	0.894103842769
SARS2	17.2257570508	12	0.485186271634	0.838222352596
SART3	17.4291770701	10	0.55265473746	0.783660897624
SBDS	16.9715378935	8	0.402170724553	0.702552068055
SBF1	16.3721938045	1	0.235552948079	0.0513347022587
