beta_PD	se_PD	t_PD	df_residual	p_one_sided_down	p_two_sided	ci95_low	ci95_high	model	analysis	cohort	excluded_gene
0.009271643038729405	0.16485488704867088	0.056241238611216264	10	0.5218712548520874	0.9562574902958253	-0.358047935734223	0.3765912218116818	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMB6
0.004496097413781541	0.17173103018356548	0.026181042581387915	10	0.5101859831551859	0.9796280336896281	-0.3781444830298482	0.3871366778574113	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMB7
0.012809529622809013	0.16858336952440067	0.07598335268150497	10	0.5295345003119377	0.9409309993761246	-0.3628176258132669	0.3884366850588849	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMC1
0.008954008138557956	0.17804513699044464	0.05029066387271505	10	0.5195594499358966	0.9608811001282066	-0.38775527899707024	0.40566329527418615	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMC2
-0.005908000352032428	0.17144629766613742	-0.03445977214122906	10	0.4865943321762026	0.9731886643524053	-0.38791415721115685	0.376098156507092	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMC3
-0.0027144530692670976	0.16909127114704176	-0.016053182703361486	10	0.4937538671237974	0.9875077342475947	-0.37947328384373646	0.37404437770520227	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMC4
0.015350163680950768	0.16590996655935236	0.09252104619923135	10	0.5359443108615791	0.9281113782768418	-0.3543202787416857	0.38502060610358724	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMC5
0.003997331846159469	0.1770885103251	0.022572508170186457	10	0.5087823318088784	0.9824353363822432	-0.3905804582495683	0.3985751219418872	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMC6
0.021318031647940217	0.17771000864127112	0.1199596568079247	10	0.5465545076245022	0.9068909847509955	-0.37464454299249245	0.4172806062883729	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMD1
0.001287367525959926	0.1780862054859679	0.007228900871052377	10	0.5028127989879181	0.9943744020241637	-0.3955134259201363	0.3980881609720561	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMD10
0.004090388692459257	0.17575441513901657	0.023273319701379223	10	0.50905494464987	0.9818901107002601	-0.3875148520869081	0.3956956294718266	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMD11
0.009781541168226937	0.17053387542314244	0.05735834680327405	10	0.5223051605011135	0.9553896789977728	-0.3701916122418639	0.3897546945783178	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMD12
