gene	eligible_probe_n	eligible_probes
2810404M03RIK	1	1453940_at
2810405F17RIK	1	1460457_at
2810408A11RIK	3	1430178_at;1453293_a_at;1459803_x_at
2810408B13RIK	1	1422172_x_at
2810408I11RIK	1	1437549_at
2810410L24RIK	2	1429510_at;1438972_x_at
2810410P21RIK	2	1432908_at;1454412_at
2810414N06RIK	2	1433348_at;1454572_at
2810416A17RIK	2	1433265_at;1433266_at
2810417H13RIK	3	1419152_at;1419153_at;1431273_at
2810421E14RIK	2	1433243_at;1454521_at
2810427A07RIK	1	1437576_at
2810428I15RIK	1	1418702_a_at
2810428J06RIK	1	1431271_at
2810429I04RIK	1	1454147_at
2810430I11RIK	1	1431796_at
2810433D01RIK	1	1445896_at
2810449G22RIK	3	1419876_at;1419877_x_at;1430468_at
2810454H06RIK	1	1441191_at
2810455B08RIK	1	1431412_at
2810455D13RIK	2	1429096_at;1435947_at
2810455O05RIK	1	1431027_at
2810457G06RIK	1	1432847_at
2810459M11RIK	1	1452354_at
2810468N07RIK	1	1452980_at
2810471M01RIK	1	1432002_at
2810474C18RIK	1	1432542_at
2810474O19RIK	4	1427334_s_at;1429588_at;1437110_at;1452397_at
2810487C13RIK	1	1454349_at
2900001G08RIK	1	1430642_at
2900002J02RIK	1	1430928_at
2900005I04RIK	2	1433300_at;1454549_at
2900005J15RIK	1	1453655_at
2900006B11RIK	1	1430253_at
2900009J06RIK	1	1445606_a_at
2900009J20RIK	2	1428978_at;1452989_at
2900011F02RIK	2	1432989_at;1460532_at
2900011G08RIK	1	1430378_at
2900011L18RIK	2	1432757_at;1432758_at
