gene	peptide_backbones	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH
UTP11	2	5	5	0.763358863096	1.69743798002	0.203280831958	6.05824563733	0.267105516847	1.25961220934	0.00928505912964	0.0602651469279
UTP15	9	5	5	0.3712770745	1.2934973286	0.371260412976	4.53666090215	-0.613153749381	1.35570789838	0.367601007213	0.51362072257
UTP18	4	5	5	0.0368991980243	1.02590646213	0.219884126241	6.59920633909	-0.489514590607	0.563312986656	0.87175727417	0.917898456092
UTP20	10	5	5	-0.383044214108	0.766817828899	0.144062172484	5.93706736145	-0.736459388014	-0.0296290402014	0.0379627472508	0.125280603928
UTP3	2	5	5	1.04665524265	2.06573507266	0.221804588554	7.65629843097	0.531148550824	1.56216193447	0.00169526242019	0.0316635350885
UTP4	5	5	5	0.436177693561	1.35301486864	0.372959301264	5.22597008029	-0.510209156895	1.38256454402	0.292759854148	0.440757926674
UTP6	3	5	5	0.173892175913	1.12809782257	0.331307333456	4.82454367107	-0.687161094584	1.03494544641	0.622888221869	0.740023492697
VAC14	5	5	5	0.654094844079	1.57362833906	0.21240929609	4.44066582737	0.0867305438393	1.22145914432	0.0321565764717	0.114784715006
VAMP2	3	5	5	-0.83067213148	0.562267228862	0.31447063709	4.42249299463	-1.67185068645	0.0105064234936	0.0518941870205	0.149153665779
VANGL2	7	5	5	-0.950213756331	0.517555772796	0.185079905066	7.78361275406	-1.37908290265	-0.521344610011	0.000971083231917	0.0265555994592
VAPA	4	5	5	1.00579445425	2.00804897242	0.453665723565	4.76509780908	-0.177895693758	2.18948460225	0.0800719386351	0.19554119635
VAPB	4	5	5	0.641449660654	1.55989579937	0.196884204368	7.67209642035	0.184033970424	1.09886535088	0.0122430398291	0.070811548879
VARS	24	5	5	0.823677394804	1.76991170985	0.182292915516	7.79542044831	0.401381153244	1.24597363636	0.00208630787628	0.0337334072598
VARS2	3	5	5	-0.12056885694	0.9198248907	0.475208827285	5.24899360373	-1.32490707019	1.08376935631	0.809354143969	0.876965429557
VAT1	8	5	5	-0.481043487134	0.716459228642	0.543457613154	4.47247564924	-1.92909168345	0.967004709184	0.421107044597	0.564825774591
VAT1L	11	5	5	-0.189461209816	0.876933160414	0.10552040877	7.58536513541	-0.435126495108	0.056204075476	0.112354133372	0.239955359633
VAV2	4	5	5	-0.253437442918	0.838895235165	0.257884283878	7.55111102768	-0.854329712765	0.347454826929	0.356161771486	0.503259709829
