gene	peptide_backbones	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH
SYT2	3	5	5	-1.06805203818	0.476962570866	0.42716903173	5.84545973596	-2.12003220231	-0.0160718740564	0.0475484767365	0.139513877306
SYT4	2	5	5	-1.01750371357	0.493970327063	0.248190907101	5.48469459774	-1.63890786974	-0.396099557401	0.0076974198101	0.0603193887035
SYT7	2	5	5	-1.71639681393	0.304307793156	0.254056960954	6.54919925279	-2.32563125864	-1.10716236923	0.000352860723291	0.0267501523223
SZT2	2	5	5	0.566744057838	1.48117700563	0.185661495555	7.15218526949	0.129610999058	1.00387711662	0.0180352081857	0.0852369316967
TAGLN3	8	5	5	-0.20371126764	0.868313989383	0.096236152165	7.85477479759	-0.426348455751	0.0189259204701	0.0677933634445	0.175763553918
TALDO1	12	5	5	0.505922912306	1.42003147981	0.220327005522	6.44579670948	-0.0242873069906	1.0361331316	0.0584435158375	0.159582563131
TAMM41	3	5	5	-0.461106002735	0.726429148082	0.241498931946	7.49465169881	-1.0246079042	0.102395898725	0.0950922279498	0.217367888602
TANC2	2	5	5	0.278759753287	1.21315152175	0.204790261499	5.62267242384	-0.230609524885	0.78812903146	0.225470879518	0.376014461411
TAOK1	5	5	5	0.267051606807	1.20334607026	0.251967132791	5.09084294134	-0.377189581398	0.911292795013	0.33687886824	0.49092561373
TARDBP	6	5	5	0.829464998336	1.77702625679	0.178662885812	7.36941261518	0.41124980063	1.24768019604	0.00206314526158	0.0406100438893
TARS	9	5	5	0.0498447613565	1.03515353199	0.0768682331191	6.18683277733	-0.136876719557	0.23656624227	0.540005346328	0.67826908575
TAX1BP1	2	5	5	0.799393239375	1.74036901797	0.210221028739	4.68372421588	0.247840659437	1.35094581931	0.0142311274714	0.0784556021044
TBCA	5	5	5	0.555119955357	1.46929079491	0.343710014195	5.04683853513	-0.32595411362	1.43619402433	0.166673030733	0.310185188482
TBCB	2	5	5	0.407696149597	1.32656571912	0.498565702739	4.24984156256	-0.945033693427	1.76042599262	0.456880691069	0.610012567953
TBCD	3	5	5	-0.800102769895	0.574308265386	0.573934451688	4.13570511816	-2.37318942609	0.772983886297	0.233534527751	0.38475915025
TBL1XR1	3	5	5	0.228602660571	1.17169953595	0.211955559483	6.26277298864	-0.284804398551	0.742009719694	0.320570608912	0.47670683873
TCERG1	13	5	5	0.482989240088	1.39763654796	0.129951060454	6.49864682557	0.170832178758	0.795146301418	0.00856131415452	0.0630668214718
TCP1	16	5	5	0.107801090126	1.0775845641	0.210048418732	4.53880669212	-0.449072409198	0.66467458945	0.631782058133	0.74630964984
TECR	4	5	5	-0.357294348014	0.780627207725	0.169023237897	6.78810825898	-0.759513858071	0.0449251620432	0.073602117012	0.184616754128
TEFM	2	5	5	-0.145574921868	0.904019049232	0.396099606045	5.93678266687	-1.11730300445	0.826153160716	0.725976068273	0.811888195205
TERF2IP	3	5	5	1.22857295683	2.34335082401	0.463259280156	5.3088876466	0.0582683496968	2.39887756397	0.0427037121339	0.132617470694
TEX10	2	5	5	0.962786869643	1.94907130283	0.212005547056	4.31196667721	0.390585808578	1.53498793071	0.00879187554549	0.0637630043714
TF	10	5	5	-1.0428642936	0.48536288816	0.314110661744	7.16112929713	-1.78224347637	-0.303485110829	0.0123501638286	0.0739646306747
TFAM	8	5	5	0.395283232281	1.31520093729	0.167078736462	7.98517570919	0.00987443703472	0.780692027527	0.0455967758373	0.136166568609
TFCP2	4	5	5	-0.114255428109	0.923858989403	0.0742731893083	6.76787363994	-0.291112143808	0.0626012875893	0.169314832333	0.313651191232
TFG	2	5	5	-0.386907684108	0.764767073674	0.224752323825	4.77664070748	-0.972872990212	0.199057621996	0.148517878686	0.287199068746
TFRC	7	5	5	-0.6064744041	0.656799801358	0.194523556657	7.173909118	-1.06419870668	-0.148750101517	0.0163755971889	0.0837168974299
TGOLN2	6	5	5	-0.167389335855	0.890452564372	0.462184605521	7.61353679813	-1.24267962517	0.90790095346	0.727070766433	0.812126921799
THBS1	2	5	5	-1.02153490919	0.492591995881	0.282657318853	7.99275772649	-1.67344667269	-0.369623145683	0.00685187670901	0.0577515322616
THNSL1	3	5	5	-0.329862863823	0.79561210751	0.232129961131	5.34258928644	-0.915244753283	0.255519025636	0.210955115924	0.362324955202
THOC2	3	5	5	1.10958949806	2.15784239693	0.338760041276	6.29146131744	0.289893599665	1.92928539646	0.0158013300117	0.0827122344667
THOP1	3	5	5	0.289473370003	1.22219405619	0.273195294689	6.70655517049	-0.362305259413	0.941251999418	0.325996189063	0.48116949339
THY1	2	5	5	-1.58922315964	0.332350364292	0.460781169885	5.54631305259	-2.73945241695	-0.438993902329	0.0154696291074	0.0817680395675
THYN1	7	5	5	0.758182232574	1.69135820347	0.213497724623	5.20358231797	0.215764545825	1.30059991932	0.0153050139024	0.081489866705
TIA1	2	5	5	0.921339909387	1.89387342019	0.336943471645	6.76796783166	0.119024275096	1.72365554368	0.0301301390347	0.110359217303
TIAL1	4	5	5	1.15595453377	2.22831707559	0.331214448097	6.99919917145	0.372738651143	1.9391704164	0.0101298451266	0.0680706718219
TIGAR	2	5	5	0.48122967403	1.39593297604	0.195471282708	7.92408833844	0.0297193406556	0.932740007405	0.0394777078404	0.12688110523
TIMM44	8	5	5	-0.163471712566	0.892873865014	0.129028995317	7.47963355507	-0.464655080305	0.137711655173	0.243200265768	0.396002404191
TIPRL	4	5	5	0.412346325213	1.3308484787	0.324924783827	4.25273146762	-0.469034234664	1.29372688509	0.269434227741	0.422539453419
TKFC	3	5	5	0.808737453047	1.75167782435	0.192194879849	7.53417244597	0.360719860834	1.25675504526	0.00338992080602	0.0459364681884
TKT	16	5	5	0.498692036536	1.41293200156	0.170871121608	6.96339005818	0.0942150122357	0.903169060837	0.0225186185266	0.0944924708922
TLE3	2	5	5	0.322784816619	1.25074251326	0.263122920304	5.22923365073	-0.344772570375	0.990342203612	0.272268617505	0.424503503244
TM9SF2	2	5	5	-2.41417725771	0.187611834717	0.459657629631	4.17193106489	-3.66991439759	-1.15844011784	0.00559214268753	0.0545323253882
TM9SF3	4	5	5	-0.952053817256	0.516896085845	0.319585768742	5.24117893648	-1.76233399814	-0.141773636368	0.0290903493171	0.107817033207
TM9SF4	3	5	5	-0.629637453774	0.646338818496	0.222810581317	7.78968766684	-1.14586423697	-0.113410670582	0.0228969251147	0.0950718945248
TMED10	5	5	5	-0.551980411524	0.682083178496	0.288970938657	4.31257519685	-1.33187078775	0.227909964702	0.123543541566	0.252760591601
TMED2	2	5	5	-0.605234293216	0.657364615629	0.634195921099	4.24623196898	-2.32649754149	1.11602895506	0.391026106525	0.543354545223
TMED3	2	5	5	-0.934427669035	0.523250007026	0.331287532961	4.78134501413	-1.79787738234	-0.0709779557303	0.0389954480803	0.12667717732
TMED4	4	5	5	-0.551142755082	0.682479324079	0.150128585159	4.72398422426	-0.943942322689	-0.158343187476	0.0159515807352	0.0827122344667
TMED9	2	5	5	-0.422782615055	0.745984409631	0.270064535369	6.64960070205	-1.06826916392	0.222703933812	0.163689656115	0.30684168899
TMEM126B	2	5	5	-1.05462630313	0.481421906641	0.266732579411	5.62831234914	-1.71788914173	-0.391363464532	0.00853212685977	0.0630668214718
TMEM143	2	5	5	0.437835792779	1.35457079177	0.435657419046	5.94751407249	-0.630464051689	1.50613563725	0.354018384974	0.508435614736
TMEM14C	2	5	5	-1.53897459501	0.344129960266	0.565674658213	4.76047991781	-3.01537124598	-0.0625779440334	0.0439567938224	0.134440461274
TMEM246	2	5	5	-0.961706262633	0.513449302154	0.158182855414	7.1786875397	-1.33387013269	-0.589542392577	0.000454218750985	0.0267501523223
TMEM256	2	5	5	-0.278827334225	0.824260728878	0.191341237045	6.94542593355	-0.731999155452	0.174344487002	0.188731979228	0.337706484143
TMEM30A	7	5	5	-0.878162687107	0.544059865862	0.206215899277	5.73861696188	-1.38837871934	-0.367946654878	0.0058948945809	0.0552940343977
TMEM33	2	5	5	-1.03247577108	0.48887049073	0.570514465865	4.31421669798	-2.57200035666	0.507048814505	0.139354761854	0.275055556172
TMEM43	7	5	5	-0.207811004515	0.8658499859	0.177693454084	7.99857274214	-0.617585571865	0.201963562835	0.275873013563	0.428928193002
