pseudo	source	weighted	cells	original	retention	effect
9	mouse71	0.947134319356	23	23	1	0.0411797530155
9	mouse72	-0.646435534919	108	108	1	-0.00598551421222
9	mouse73	-0.514147996836	77	78	0.987179487179	-0.00667724671216
9	mouse74	0.254874262568	43	43	1	0.0059273084318
9	mouse75	-0.291412925636	48	48	1	-0.00607110261741
9	mouse76	0.569277553671	105	105	1	0.00542169098734
9	mouse8	-0.363603836894	42	42	1	-0.00865723421176
9	mouse9	-0.310013223759	61	62	0.983870967742	-0.00508218399606
10	mouse10	0.182660106337	22	22	1	0.00830273210622
10	mouse11	0.458305231364	32	32	1	0.0143220384801
10	mouse12	-0.0206098927292	22	22	1	-0.000936813305871
10	mouse13	0.133036946194	36	37	0.972972972973	0.00369547072762
10	mouse14	-0.585667533397	21	21	1	-0.0278889301618
10	mouse15	0.644961257637	26	27	0.962962962963	0.0248062022168
10	mouse18	0.418115884451	47	49	0.959183673469	0.0088960826479
10	mouse19	-0.00627811582585	21	21	1	-0.000298957896469
10	mouse20	-0.376332678493	39	39	1	-0.00964955585878
10	mouse21	0.105557534724	25	25	1	0.00422230138897
10	mouse22	0.562090446374	29	29	1	0.0193824291853
10	mouse23	-0.0860644696065	44	44	1	-0.00195601067287
10	mouse33	0.0268235981547	22	22	1	0.00121925446158
10	mouse35	-0.18823993315	27	27	1	-0.00697184937594
10	mouse38	0.151536301376	24	25	0.96	0.00631401255731
10	mouse4	-0.223758712401	39	39	1	-0.00573740288207
10	mouse44	0.662805318848	20	20	1	0.0331402659424
